Frequency (Hz)	Level (dB)
597.656250	-62.766415
598.632812	-63.847980
599.609375	-62.616695
600.585938	-64.002892
601.562500	-63.613293
602.539062	-63.743084
603.515625	-64.397354
604.492188	-64.703362
605.468750	-64.520699
606.445312	-64.650902
607.421875	-63.662766
608.398438	-66.145218
609.375000	-64.925072
610.351562	-64.103691
611.328125	-65.666756
612.304688	-64.874199
613.281250	-66.259697
614.257812	-65.237167
615.234375	-65.108437
616.210938	-65.421997
617.187500	-65.483131
618.164062	-65.402412
619.140625	-66.434708
620.117188	-65.931396
621.093750	-65.860207
622.070312	-65.752159
623.046875	-66.496925
624.023438	-66.294754
625.000000	-65.545151
625.976562	-66.158005
626.953125	-66.120041
627.929688	-66.346207
628.906250	-67.346497
629.882812	-67.099899
630.859375	-66.771072
631.835938	-67.109779
632.812500	-66.284416
633.789062	-66.298294
634.765625	-67.897751
635.742188	-66.349312
636.718750	-66.474258
637.695312	-67.252357
638.671875	-66.359077
639.648438	-66.856758
640.625000	-67.246979
641.601562	-67.775002
642.578125	-66.699997
643.554688	-66.567184
644.531250	-66.448677
645.507812	-66.187309
646.484375	-68.132805
647.460938	-68.044113
648.437500	-66.617332
649.414062	-67.264496
650.390625	-67.761589
651.367188	-66.663506
652.343750	-66.121178
653.320312	-67.070412
654.296875	-67.114357
655.273438	-67.302101
656.250000	-68.116768
657.226562	-68.453033
658.203125	-67.612030
659.179688	-68.258446
660.156250	-68.147942
661.132812	-68.274765
662.109375	-68.233208
663.085938	-66.905708
664.062500	-67.371086
665.039062	-66.912796
666.015625	-67.804680
666.992188	-68.901085
667.968750	-68.893639
668.945312	-68.294724
669.921875	-68.586060
670.898438	-68.212814
671.875000	-67.729843
672.851562	-67.519897
673.828125	-68.661346
674.804688	-68.739258
675.781250	-69.697060
676.757812	-67.898575
677.734375	-68.701355
678.710938	-68.830429
679.687500	-69.407303
680.664062	-67.352005
681.640625	-67.358200
682.617188	-67.614151
683.593750	-67.420311
684.570312	-68.182533
685.546875	-67.764153
686.523438	-68.401260
687.500000	-68.875870
688.476562	-68.554642
689.453125	-67.582939
690.429688	-69.319595
691.406250	-69.024155
692.382812	-68.394478
693.359375	-68.308029
694.335938	-68.691467
695.312500	-69.436676
696.289062	-70.312393
697.265625	-68.284592
698.242188	-68.379929
699.218750	-69.373161
700.195312	-68.525597
701.171875	-67.882744
702.148438	-68.324593
703.125000	-67.864479
704.101562	-67.204041
705.078125	-68.339218
706.054688	-67.899796
707.031250	-68.278801
708.007812	-68.660278
708.984375	-68.441620
709.960938	-68.811646
710.937500	-67.558723
711.914062	-67.601280
712.890625	-68.317833
713.867188	-66.960358
714.843750	-68.366318
715.820312	-67.561707
716.796875	-67.994553
717.773438	-67.773193
718.750000	-67.776482
719.726562	-68.569695
720.703125	-68.034317
721.679688	-67.458549
722.656250	-68.143417
723.632812	-67.813103
724.609375	-67.393318
725.585938	-66.790009
726.562500	-67.081268
727.539062	-68.280762
728.515625	-67.642395
729.492188	-68.545921
730.468750	-67.419655
731.445312	-67.123390
732.421875	-67.704651
733.398438	-68.019669
734.375000	-66.613586
735.351562	-67.731064
736.328125	-67.599297
737.304688	-67.585739
738.281250	-66.759804
739.257812	-66.473671
740.234375	-66.480141
741.210938	-67.546867
742.187500	-65.652466
743.164062	-65.343040
744.140625	-67.275070
745.117188	-66.215202
746.093750	-65.949776
747.070312	-66.070290
748.046875	-65.964828
749.023438	-66.968689
750.000000	-67.016617
750.976562	-65.880188
751.953125	-65.587059
752.929688	-66.703598
753.906250	-66.389389
754.882812	-65.524414
755.859375	-65.713608
756.835938	-66.451233
757.812500	-65.865501
758.789062	-65.546768
759.765625	-64.867928
760.742188	-65.189026
761.718750	-65.316154
762.695312	-65.359108
763.671875	-65.275734
764.648438	-64.190239
765.625000	-64.827614
766.601562	-64.896088
767.578125	-64.932892
768.554688	-63.679630
769.531250	-64.102104
770.507812	-63.789806
771.484375	-64.067749
772.460938	-65.131760
773.437500	-64.314491
774.414062	-63.882019
775.390625	-62.663406
776.367188	-64.254715
777.343750	-63.132038
778.320312	-62.951694
779.296875	-63.240444
780.273438	-64.347099
781.250000	-64.453156
782.226562	-63.674088
783.203125	-62.675526
784.179688	-62.293369
785.156250	-61.839920
786.132812	-61.936214
787.109375	-62.058613
788.085938	-60.536072
789.062500	-61.769318
790.039062	-61.756733
791.015625	-62.460670
791.992188	-60.593681
792.968750	-60.678951
793.945312	-60.377171
794.921875	-61.006763
795.898438	-60.531490
796.875000	-60.262035
797.851562	-59.630337
798.828125	-58.962570
799.804688	-58.593662
800.781250	-59.591724
801.757812	-59.512146
802.734375	-59.729340
803.710938	-59.371609
804.687500	-59.942894
805.664062	-59.057262
806.640625	-59.442890
807.617188	-59.046818
808.593750	-58.456249
809.570312	-58.224468
810.546875	-58.897694
811.523438	-59.831600
812.500000	-58.989876
813.476562	-57.777046
814.453125	-58.609943
815.429688	-58.736713
816.406250	-57.815865
817.382812	-58.909206
818.359375	-57.653889
819.335938	-58.524773
820.312500	-57.991070
821.289062	-58.420448
822.265625	-59.191902
823.242188	-57.952839
824.218750	-58.552624
825.195312	-58.284752
826.171875	-59.137188
827.148438	-57.391960
828.125000	-59.072609
829.101562	-59.113075
830.078125	-58.893085
831.054688	-58.626038
832.031250	-58.125072
833.007812	-58.800312
833.984375	-58.728676
834.960938	-59.211342
835.937500	-59.137474
836.914062	-58.570827
837.890625	-59.684353
838.867188	-59.013565
839.843750	-59.846386
840.820312	-59.875950
841.796875	-58.684677
842.773438	-59.029884
843.750000	-59.700764
844.726562	-58.369831
845.703125	-59.945049
846.679688	-59.918499
847.656250	-58.264999
848.632812	-58.369339
849.609375	-58.676640
850.585938	-59.076790
851.562500	-59.458607
852.539062	-59.174370
853.515625	-59.415218
854.492188	-59.140869
855.468750	-59.371059
856.445312	-59.140583
857.421875	-58.914288
858.398438	-59.361214
859.375000	-59.088192
860.351562	-58.819756
861.328125	-59.734547
862.304688	-59.507629
863.281250	-60.170650
864.257812	-59.126514
865.234375	-60.073170
866.210938	-59.109951
867.187500	-59.974968
868.164062	-59.244873
869.140625	-59.516674
870.117188	-59.029640
871.093750	-59.562000
872.070312	-59.064018
873.046875	-59.634209
874.023438	-59.629940
875.000000	-60.641247
875.976562	-60.018925
876.953125	-60.391914
877.929688	-60.994663
878.906250	-60.627190
879.882812	-60.733177
880.859375	-60.278130
881.835938	-59.898514
882.812500	-61.132900
883.789062	-60.905766
884.765625	-61.178165
885.742188	-61.264481
886.718750	-60.862240
887.695312	-61.618774
888.671875	-60.824818
889.648438	-59.871975
890.625000	-62.527409
891.601562	-62.344002
892.578125	-62.756119
893.554688	-62.765518
894.531250	-62.435577
895.507812	-62.629337
896.484375	-62.768707
897.460938	-62.962406
898.437500	-63.596302
899.414062	-63.130287
900.390625	-62.509712
901.367188	-61.811474
902.343750	-62.112373
903.320312	-63.095463
904.296875	-63.345898
905.273438	-62.311394
906.250000	-62.194908
907.226562	-62.605278
908.203125	-64.002220
909.179688	-63.854557
910.156250	-63.907314
911.132812	-63.217079
912.109375	-61.880569
913.085938	-64.548965
914.062500	-64.014206
915.039062	-64.028168
916.015625	-65.537231
916.992188	-63.330235
917.968750	-63.365627
918.945312	-64.165977
919.921875	-64.290817
920.898438	-63.159092
921.875000	-64.089478
922.851562	-65.568779
923.828125	-63.286861
924.804688	-64.460388
925.781250	-64.349274
926.757812	-63.752701
927.734375	-64.953636
928.710938	-65.402603
929.687500	-64.665520
930.664062	-64.340721
931.640625	-64.497765
932.617188	-64.287285
933.593750	-65.161827
934.570312	-65.096687
935.546875	-64.094536
936.523438	-64.457664
937.500000	-65.117683
938.476562	-64.813416
939.453125	-64.926834
940.429688	-65.045273
941.406250	-64.715744
942.382812	-64.567406
943.359375	-66.127617
944.335938	-66.628174
945.312500	-64.730095
946.289062	-65.330742
947.265625	-65.049644
948.242188	-65.688499
949.218750	-65.243088
950.195312	-64.711029
951.171875	-66.080849
952.148438	-65.562157
953.125000	-64.587204
954.101562	-66.126228
955.078125	-65.090363
956.054688	-65.270462
957.031250	-64.632469
958.007812	-66.080772
958.984375	-65.737839
959.960938	-67.181862
