Frequency (Hz)	Level (dB)
843.750000	-64.216087
844.726562	-62.800358
845.703125	-64.651619
846.679688	-64.442055
847.656250	-62.909367
848.632812	-63.042042
849.609375	-63.378601
850.585938	-63.911617
851.562500	-64.207085
852.539062	-64.116150
853.515625	-64.168213
854.492188	-63.967388
855.468750	-64.300430
856.445312	-64.009033
857.421875	-63.792229
858.398438	-64.203690
859.375000	-63.979244
860.351562	-63.635830
861.328125	-64.662323
862.304688	-64.377869
863.281250	-65.046585
864.257812	-63.960159
865.234375	-64.895721
866.210938	-63.967648
867.187500	-64.779045
868.164062	-63.849964
869.140625	-64.159447
870.117188	-63.715546
871.093750	-64.205986
872.070312	-63.583519
873.046875	-64.098236
874.023438	-64.036049
875.000000	-65.097244
875.976562	-64.390076
876.953125	-64.597351
877.929688	-65.127625
878.906250	-64.835152
879.882812	-64.761749
880.859375	-64.219513
881.835938	-63.616138
882.812500	-64.872711
883.789062	-64.479973
884.765625	-64.672798
885.742188	-64.586914
886.718750	-64.120560
887.695312	-64.732735
888.671875	-63.957119
889.648438	-62.810837
890.625000	-65.324257
891.601562	-65.128960
892.578125	-65.304741
893.554688	-65.367416
894.531250	-64.813477
895.507812	-64.987656
896.484375	-64.739845
897.460938	-65.086906
898.437500	-65.651894
899.414062	-64.934807
900.390625	-64.099678
901.367188	-63.515781
902.343750	-63.758095
903.320312	-64.484695
904.296875	-64.722206
905.273438	-63.489811
906.250000	-63.289188
907.226562	-63.656178
908.203125	-64.602287
909.179688	-64.658165
910.156250	-64.601822
911.132812	-63.832027
912.109375	-62.355167
913.085938	-64.885399
914.062500	-64.047173
915.039062	-64.175217
916.015625	-65.543304
916.992188	-63.210621
917.968750	-63.166225
918.945312	-63.948051
919.921875	-63.726597
920.898438	-62.564037
921.875000	-63.476227
922.851562	-64.769547
923.828125	-62.548485
924.804688	-63.516048
925.781250	-63.396610
926.757812	-62.601204
927.734375	-63.841591
928.710938	-64.060677
929.687500	-63.189312
930.664062	-62.764477
931.640625	-62.908405
932.617188	-62.583958
933.593750	-63.483383
934.570312	-63.259029
935.546875	-62.093948
936.523438	-62.520863
937.500000	-62.962868
938.476562	-62.716717
939.453125	-62.637173
940.429688	-62.621521
941.406250	-62.354355
942.382812	-62.122765
943.359375	-63.631802
944.335938	-63.966869
945.312500	-62.101349
946.289062	-62.675697
947.265625	-62.202450
948.242188	-62.758682
949.218750	-62.150963
950.195312	-61.675018
951.171875	-62.907276
952.148438	-62.281837
953.125000	-61.307846
954.101562	-62.832062
955.078125	-61.760448
956.054688	-61.856411
957.031250	-61.083958
958.007812	-62.434479
958.984375	-62.096401
959.960938	-63.360619
960.937500	-63.064335
961.914062	-62.184113
962.890625	-61.781513
963.867188	-61.124191
964.843750	-61.038197
965.820312	-62.320164
966.796875	-62.159386
967.773438	-63.091171
968.750000	-62.272083
969.726562	-61.555408
970.703125	-60.725822
971.679688	-61.362682
972.656250	-61.030380
973.632812	-60.695770
974.609375	-60.381470
975.585938	-60.804554
976.562500	-61.009071
977.539062	-60.535854
978.515625	-61.126606
979.492188	-60.331909
980.468750	-60.213234
981.445312	-60.952488
982.421875	-60.673859
983.398438	-59.986534
984.375000	-61.614094
985.351562	-60.832161
986.328125	-60.262512
987.304688	-59.376217
988.281250	-60.478886
989.257812	-62.307758
990.234375	-61.013428
991.210938	-60.845104
992.187500	-59.617245
993.164062	-60.538719
994.140625	-60.740486
995.117188	-60.061359
996.093750	-60.344917
997.070312	-61.168266
998.046875	-60.556999
999.023438	-60.064098
1000.000000	-60.340168
1000.976562	-58.223331
1001.953125	-59.593140
1002.929688	-58.141140
1003.906250	-59.924026
1004.882812	-59.830379
1005.859375	-58.334209
1006.835938	-59.342697
1007.812500	-59.050602
1008.789062	-60.474361
