Frequency (Hz)	Level (dB)
402.343750	-70.873634
403.320312	-69.731079
404.296875	-69.575470
405.273438	-72.354767
406.250000	-71.806297
407.226562	-70.801849
408.203125	-71.092323
409.179688	-71.240555
410.156250	-71.791313
411.132812	-71.195702
412.109375	-70.989433
413.085938	-69.795059
414.062500	-71.207809
415.039062	-71.206749
416.015625	-70.568413
416.992188	-70.434685
417.968750	-71.655815
418.945312	-70.485924
419.921875	-71.599068
420.898438	-69.991302
421.875000	-70.364159
422.851562	-70.440376
423.828125	-70.950340
424.804688	-69.376923
425.781250	-69.641991
426.757812	-70.421608
427.734375	-71.212685
428.710938	-71.273170
429.687500	-71.001144
430.664062	-70.100395
431.640625	-68.672424
432.617188	-70.325218
433.593750	-70.922028
434.570312	-71.312454
435.546875	-70.146301
436.523438	-70.580582
437.500000	-68.069839
438.476562	-69.665970
439.453125	-69.702988
440.429688	-70.854240
441.406250	-69.629570
442.382812	-69.542038
443.359375	-69.972076
444.335938	-69.772881
445.312500	-70.365158
446.289062	-70.243927
447.265625	-68.921867
448.242188	-69.978073
449.218750	-68.685310
450.195312	-70.279015
451.171875	-69.371880
452.148438	-69.845856
453.125000	-70.518753
454.101562	-69.480446
455.078125	-68.845200
456.054688	-69.079269
457.031250	-69.543602
458.007812	-69.219940
458.984375	-69.114220
459.960938	-68.942116
460.937500	-67.909599
461.914062	-68.902000
462.890625	-68.622147
463.867188	-68.999084
464.843750	-68.947159
465.820312	-68.698372
466.796875	-67.822227
467.773438	-68.594406
468.750000	-68.333176
469.726562	-67.318222
470.703125	-67.666115
471.679688	-68.997139
472.656250	-67.977562
473.632812	-68.499077
474.609375	-68.685669
475.585938	-69.219391
476.562500	-67.993416
477.539062	-67.958992
478.515625	-67.739029
479.492188	-68.964828
480.468750	-67.948418
481.445312	-67.303322
482.421875	-68.473740
483.398438	-67.112267
484.375000	-67.413376
485.351562	-67.496033
486.328125	-67.587059
487.304688	-67.369835
488.281250	-68.414772
489.257812	-65.689293
490.234375	-65.995209
491.210938	-66.923019
492.187500	-68.481911
493.164062	-65.495285
494.140625	-66.681145
495.117188	-66.755081
496.093750	-65.851372
497.070312	-67.646172
498.046875	-66.827293
499.023438	-66.727341
500.000000	-67.508430
500.976562	-65.499718
501.953125	-65.047104
502.929688	-66.626266
503.906250	-66.714851
504.882812	-66.067810
505.859375	-65.643433
506.835938	-65.249786
507.812500	-64.529381
508.789062	-66.156509
509.765625	-66.067917
510.742188	-64.411201
511.718750	-64.970467
512.695312	-64.481369
513.671875	-65.102692
514.648438	-64.970314
515.625000	-64.179947
516.601562	-64.505775
517.578125	-65.153687
518.554688	-63.470085
519.531250	-64.479149
520.507812	-64.413605
521.484375	-63.913208
522.460938	-63.486931
523.437500	-63.696827
524.414062	-64.381126
525.390625	-64.326279
526.367188	-63.551430
527.343750	-63.789104
528.320312	-63.385780
529.296875	-62.428371
530.273438	-63.307869
531.250000	-61.725647
532.226562	-61.315586
533.203125	-61.098427
534.179688	-62.070492
535.156250	-61.616142
536.132812	-60.938202
537.109375	-61.631989
538.085938	-61.591923
539.062500	-60.482506
540.039062	-61.028999
541.015625	-60.950760
541.992188	-60.155430
542.968750	-59.211952
543.945312	-60.080235
544.921875	-59.918678
545.898438	-59.890224
546.875000	-59.791874
547.851562	-58.401478
548.828125	-59.009396
549.804688	-59.236877
550.781250	-58.093254
551.757812	-58.749432
552.734375	-57.832428
553.710938	-57.598431
554.687500	-56.981827
555.664062	-57.295303
556.640625	-56.808498
557.617188	-57.092121
558.593750	-57.113003
559.570312	-56.665028
560.546875	-57.372215
561.523438	-57.288322
562.500000	-57.628105
563.476562	-56.028194
564.453125	-56.377399
565.429688	-57.755310
566.406250	-58.080391
567.382812	-56.920067
568.359375	-57.169876
569.335938	-57.366768
570.312500	-56.687168
571.289062	-58.289532
572.265625	-57.703396
573.242188	-57.877544
574.218750	-59.564644
575.195312	-58.941807
576.171875	-58.403877
577.148438	-57.968624
578.125000	-58.832165
579.101562	-59.728107
580.078125	-59.933475
581.054688	-59.545868
582.031250	-59.034023
583.007812	-59.317764
583.984375	-60.883518
584.960938	-61.093254
585.937500	-60.346462
586.914062	-59.741512
587.890625	-60.997189
588.867188	-60.547562
589.843750	-60.574615
590.820312	-60.509914
591.796875	-61.660900
592.773438	-61.147236
593.750000	-61.320992
594.726562	-61.959507
595.703125	-62.862598
596.679688	-62.077499
597.656250	-61.886940
598.632812	-62.983112
599.609375	-61.976471
600.585938	-63.213417
601.562500	-62.779724
602.539062	-62.953476
603.515625	-63.544937
604.492188	-63.913998
605.468750	-63.620663
606.445312	-63.799740
607.421875	-62.746696
608.398438	-65.251022
609.375000	-64.048927
610.351562	-63.269791
611.328125	-64.886948
612.304688	-64.099754
613.281250	-65.540428
614.257812	-64.414383
615.234375	-64.303787
616.210938	-64.560860
617.187500	-64.608971
618.164062	-64.500465
619.140625	-65.590164
620.117188	-65.013588
621.093750	-65.001534
622.070312	-64.827599
623.046875	-65.660988
624.023438	-65.506210
625.000000	-64.724686
625.976562	-65.254837
626.953125	-65.261925
627.929688	-65.475128
628.906250	-66.544754
629.882812	-66.200752
630.859375	-65.859818
631.835938	-66.267075
632.812500	-65.454285
633.789062	-65.470276
634.765625	-67.018623
635.742188	-65.472168
636.718750	-65.603584
637.695312	-66.407845
638.671875	-65.466759
639.648438	-66.086594
640.625000	-66.397926
641.601562	-66.857277
642.578125	-65.791733
643.554688	-65.703125
644.531250	-65.577766
645.507812	-65.306313
646.484375	-67.257324
647.460938	-67.172806
648.437500	-65.694862
649.414062	-66.340187
650.390625	-66.895721
651.367188	-65.840141
652.343750	-65.298233
653.320312	-66.481224
654.296875	-66.283897
655.273438	-66.419655
656.250000	-67.191185
657.226562	-67.536873
658.203125	-66.669754
659.179688	-67.476479
660.156250	-67.434265
661.132812	-67.490440
