Frequency (Hz)	Level (dB)
383.789062	-70.951675
384.765625	-70.669991
385.742188	-71.172852
386.718750	-70.807518
387.695312	-71.673813
388.671875	-71.250259
389.648438	-69.855873
390.625000	-69.780647
391.601562	-71.984299
392.578125	-71.994820
393.554688	-70.415817
394.531250	-71.946182
395.507812	-71.073181
396.484375	-70.561150
397.460938	-71.544502
398.437500	-71.071587
399.414062	-70.211082
400.390625	-71.304527
401.367188	-71.164146
402.343750	-71.075607
403.320312	-69.717400
404.296875	-69.678497
405.273438	-72.388741
406.250000	-71.597290
407.226562	-70.718201
408.203125	-71.046181
409.179688	-71.113815
410.156250	-71.667297
411.132812	-71.235641
412.109375	-70.941162
413.085938	-69.957375
414.062500	-71.315170
415.039062	-71.099411
416.015625	-70.436478
416.992188	-70.278488
417.968750	-71.514427
418.945312	-70.553658
419.921875	-71.603844
420.898438	-69.817337
421.875000	-70.299393
422.851562	-70.471947
423.828125	-70.901566
424.804688	-69.125114
425.781250	-69.321556
426.757812	-70.393845
427.734375	-70.993080
428.710938	-71.114098
429.687500	-70.647064
430.664062	-70.057312
431.640625	-68.494675
432.617188	-70.104141
433.593750	-70.702736
434.570312	-71.200577
435.546875	-69.847809
436.523438	-70.345947
437.500000	-67.852875
438.476562	-69.354347
439.453125	-69.337791
440.429688	-70.678131
441.406250	-69.373878
442.382812	-69.399216
443.359375	-69.520050
444.335938	-69.492874
445.312500	-69.933434
446.289062	-69.820724
447.265625	-68.648796
448.242188	-69.613136
449.218750	-68.320007
450.195312	-70.069412
451.171875	-69.059746
452.148438	-69.338783
453.125000	-70.155937
454.101562	-69.109222
455.078125	-68.473007
456.054688	-68.892700
457.031250	-69.263542
458.007812	-69.021095
458.984375	-68.795822
459.960938	-68.623589
460.937500	-67.519440
461.914062	-68.570198
462.890625	-68.246414
463.867188	-68.620872
464.843750	-68.578804
465.820312	-68.299194
466.796875	-67.402878
467.773438	-68.135864
468.750000	-67.892693
469.726562	-66.863792
470.703125	-67.195305
471.679688	-68.569427
472.656250	-67.446548
