Frequency (Hz)	Level (dB)
561.523438	-62.736958
562.500000	-63.052818
563.476562	-62.109364
564.453125	-61.812012
565.429688	-63.575279
566.406250	-63.844994
567.382812	-62.906097
568.359375	-63.110981
569.335938	-62.814205
570.312500	-62.362728
571.289062	-62.635979
572.265625	-62.786976
573.242188	-62.830837
574.218750	-63.636189
575.195312	-63.065979
576.171875	-63.819492
577.148438	-62.036945
578.125000	-63.384502
579.101562	-64.392159
580.078125	-63.570065
581.054688	-62.939854
582.031250	-62.205402
583.007812	-62.641186
583.984375	-62.528427
584.960938	-63.835129
585.937500	-62.135193
586.914062	-62.045906
587.890625	-62.165276
588.867188	-63.638645
589.843750	-61.894611
590.820312	-62.098942
591.796875	-62.991589
592.773438	-62.299431
593.750000	-62.472767
594.726562	-63.156296
595.703125	-63.137329
596.679688	-62.161201
597.656250	-62.642254
598.632812	-63.036648
599.609375	-61.482380
600.585938	-62.307163
601.562500	-62.082466
602.539062	-61.999538
603.515625	-62.825520
604.492188	-63.005775
605.468750	-62.686619
606.445312	-62.156738
607.421875	-61.354939
608.398438	-63.363152
609.375000	-62.528183
610.351562	-62.490986
611.328125	-62.364758
612.304688	-60.580547
613.281250	-62.001480
614.257812	-62.374256
615.234375	-62.128571
616.210938	-61.623760
617.187500	-61.111012
618.164062	-61.841080
619.140625	-62.690659
620.117188	-61.570263
621.093750	-61.129791
622.070312	-61.854202
623.046875	-61.130913
624.023438	-62.788200
625.000000	-61.252125
625.976562	-62.002842
626.953125	-61.791237
627.929688	-61.386642
628.906250	-62.761360
629.882812	-61.327049
630.859375	-61.562706
631.835938	-61.482857
632.812500	-61.267044
633.789062	-61.053501
634.765625	-61.406376
635.742188	-60.596352
636.718750	-60.238976
637.695312	-60.165840
638.671875	-59.364861
639.648438	-60.223610
640.625000	-59.741299
641.601562	-60.283634
642.578125	-58.904961
643.554688	-58.715176
644.531250	-59.078876
645.507812	-57.779190
646.484375	-59.510502
647.460938	-59.168427
648.437500	-57.946804
649.414062	-57.764591
650.390625	-58.218758
651.367188	-57.493511
652.343750	-55.818214
653.320312	-56.756054
654.296875	-55.690800
655.273438	-56.121078
656.250000	-55.889439
