Frequency (Hz)	Level (dB)
395.507812	-79.173653
396.484375	-78.969139
397.460938	-79.949738
398.437500	-79.670441
399.414062	-78.490761
400.390625	-79.654999
401.367188	-79.340729
402.343750	-79.433830
403.320312	-77.771790
404.296875	-77.873940
405.273438	-80.689186
406.250000	-80.033707
407.226562	-79.179108
408.203125	-79.230377
409.179688	-79.351593
410.156250	-80.115036
411.132812	-79.422043
412.109375	-79.370850
413.085938	-78.085983
414.062500	-79.635834
415.039062	-79.529175
416.015625	-78.570488
416.992188	-79.045631
417.968750	-79.738899
418.945312	-78.904114
419.921875	-79.918015
420.898438	-78.231628
421.875000	-78.801201
422.851562	-78.639465
423.828125	-79.150536
424.804688	-77.508255
425.781250	-77.933510
426.757812	-78.765396
427.734375	-79.661613
428.710938	-79.792091
429.687500	-79.338921
430.664062	-78.680122
431.640625	-76.965698
432.617188	-78.540077
433.593750	-79.183372
434.570312	-79.152458
435.546875	-78.443916
436.523438	-79.058838
437.500000	-76.490799
438.476562	-78.041306
439.453125	-78.141586
440.429688	-79.107391
441.406250	-78.167839
442.382812	-78.064240
443.359375	-78.322144
444.335938	-78.471893
445.312500	-78.679070
446.289062	-78.478920
447.265625	-77.467690
448.242188	-78.883553
449.218750	-77.273613
450.195312	-79.046738
451.171875	-77.909286
452.148438	-78.699257
453.125000	-79.317085
454.101562	-78.213188
455.078125	-77.607635
456.054688	-77.985413
457.031250	-78.891220
458.007812	-78.302338
458.984375	-78.163239
459.960938	-77.855202
460.937500	-76.962311
461.914062	-78.079231
462.890625	-77.635323
463.867188	-77.982986
464.843750	-77.900352
465.820312	-78.039932
466.796875	-77.139389
467.773438	-77.598763
468.750000	-77.619377
469.726562	-76.587257
470.703125	-76.823692
471.679688	-78.220879
472.656250	-77.462852
473.632812	-78.039001
474.609375	-78.183403
475.585938	-78.633347
476.562500	-77.533058
477.539062	-77.787514
478.515625	-77.558243
479.492188	-78.605263
480.468750	-77.545975
481.445312	-76.828194
482.421875	-78.222137
483.398438	-76.942162
484.375000	-77.473907
485.351562	-77.642258
486.328125	-77.609177
487.304688	-77.655479
488.281250	-78.268524
489.257812	-75.937531
490.234375	-76.550575
491.210938	-77.485382
492.187500	-79.008018
493.164062	-75.872787
494.140625	-77.151306
495.117188	-77.543823
496.093750	-76.241356
497.070312	-78.083633
498.046875	-77.517807
499.023438	-77.468796
500.000000	-77.965088
500.976562	-76.416267
501.953125	-76.079788
502.929688	-77.831039
503.906250	-77.504402
504.882812	-77.369286
505.859375	-76.730476
506.835938	-76.411781
507.812500	-75.870544
508.789062	-77.686028
509.765625	-77.650566
510.742188	-76.020134
511.718750	-77.076462
512.695312	-76.128525
513.671875	-76.840233
514.648438	-76.859734
515.625000	-76.058105
516.601562	-76.516899
517.578125	-77.284576
518.554688	-75.710289
519.531250	-76.692612
520.507812	-76.836792
521.484375	-76.570595
522.460938	-76.178871
523.437500	-76.339699
524.414062	-77.180763
525.390625	-77.587425
526.367188	-76.832741
527.343750	-77.039207
528.320312	-76.691566
529.296875	-76.114876
530.273438	-76.738235
531.250000	-75.306725
532.226562	-75.122902
533.203125	-75.196510
534.179688	-76.350586
535.156250	-75.888313
536.132812	-75.405693
537.109375	-76.345604
538.085938	-76.209648
539.062500	-75.453033
540.039062	-76.143768
541.015625	-76.072289
541.992188	-75.490845
542.968750	-74.890938
543.945312	-75.704918
544.921875	-75.907478
545.898438	-75.757324
546.875000	-76.029190
547.851562	-74.880684
548.828125	-75.518280
549.804688	-75.951813
550.781250	-74.906326
551.757812	-75.693947
552.734375	-74.961418
553.710938	-74.889534
554.687500	-74.490768
555.664062	-74.870529
556.640625	-74.539291
557.617188	-74.852798
558.593750	-74.955887
559.570312	-74.371048
560.546875	-75.072113
561.523438	-75.200211
562.500000	-75.341362
563.476562	-73.826248
564.453125	-74.273117
565.429688	-75.409073
566.406250	-75.761070
567.382812	-74.443359
568.359375	-74.442245
569.335938	-74.740929
570.312500	-73.825760
571.289062	-75.248909
572.265625	-74.344498
573.242188	-74.469032
574.218750	-75.962250
575.195312	-75.111717
576.171875	-74.606239
577.148438	-73.713432
578.125000	-74.612190
579.101562	-75.007698
580.078125	-74.878212
581.054688	-74.547791
582.031250	-73.747498
583.007812	-73.753784
583.984375	-74.888222
584.960938	-74.984077
585.937500	-73.967056
586.914062	-72.947281
587.890625	-74.144623
588.867188	-73.558777
589.843750	-73.296074
590.820312	-73.069977
